$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644024,card_MagBurk,[スロット装着効果] 変異型モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,049_boss_magburk,[642014],,,,41350,,,,2,4,マグバークカード,500,197,4,409,0.0,0.0,TTTT,4,5,1.0
644025,card_Manticen,[スロット装着効果] STAポーション類を使用時、10秒間移動速度+[★/5],icon_item_card_util,114_boss_manticen,,"[642906, 642922]",,,800030,,,,7,2,マンティケンカード,500,255,4,214,0.0,0.0,TTTT,4,5,1.0
644026,card_Mummyghast,[スロット装着効果] 力+[★/2]、敏捷+[★/2] ,icon_item_card_stat,042_boss_mummyghast,,,,,800003,,,,0,1,マミーガストカード,500,420,2,312,0.0,0.0,TTTT,4,4,1.0
644027,card_mushcaria,[スロット装着効果] SP回復力+[★ * 6],icon_item_card_util,059_boss_mushcaria,,,,,41217,,,,7,5,マッシュカリアカード,500,263,2,272,0.0,0.0,TTTT,4,5,1.0
644028,card_Merge,[スロット装着効果] 氷属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,119_merge,,,,,800046,,,,4,2,マージカード,500,321,1,320,0.0,0.0,TTTT,4,0,1.0
644029,card_Mothstem,[スロット装着効果] 打系武器着用時、魔法攻撃力+[★*7],icon_item_card_atk,103_boss_mothstem,[642012],,,,800047,,,,5,2,モステムカード,500,188,1,136,0.0,0.0,TTTT,4,0,1.0
644030,card_moa,[スロット装着効果] 悪魔型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,083_boss_moa,,,,,41378,,,,0,0,モアカード,500,340,2,1120,0.0,0.0,TTTT,4,0,1.0
644031,card_Moyabruka,[スロット装着効果] レザー系鎧装備の対象に与えるダメージ[★/2]%アップ,icon_item_card_atk,115_boss_moyabruka,[642012],,,,47325,,,,1,0,モヤブルカカード,500,200,4,1288,0.0,0.0,TTTT,4,0,1.0
644032,card_Moldyhorn,[スロット装着効果] 石化状態の対象に与えるダメージ[★]%アップ,icon_item_card_atk,109_boss_moldyhorn,[642012],,,,47323,,,,7,0,モルディホーンカード,500,307,2,421,0.0,0.0,TTTT,4,0,1.0
644033,card_molich,[スロット装着効果] ブロック+[★ * 2],icon_item_card_util,021_boss_glass_mole,[642012],"[642908, 642915, 642923]",,,400421,,,,0,0,モリックカード,500,540,2,2075,0.0,0.0,TTTT,4,5,1.0
644034,card_Minotaurs,[スロット装着効果] 敏捷+[★/2]、精神+[★/2] ,icon_item_card_stat,090_boss_minotaurs,,,,,800004,,,,2,1,ミノタウロスカード,500,242,2,560,0.0,0.0,TTTT,4,4,1.0
644035,card_mirtis,[スロット装着効果] 小型モンスターに与えるダメージ[★/2]%アップ,icon_item_card_atk,007_boss_mirtis,,,,,800048,,,,0,1,ミルティスカード,500,346,2,192,0.0,0.0,TTTT,4,0,1.0
644036,card_bebraspion,[スロット装着効果] 両手武器着用時、攻撃速度+[★],icon_item_card_util,005_boss_bebraspion,,,,,41222,,,,5,0,ベブラスピオンカード,500,345,2,860,0.0,0.0,TTTT,4,5,1.0
644037,card_bearkaras,[スロット装着効果] 地属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,031_boss_bearkaras,,,,,401141,,,,1,0,ベアカリスカード,500,359,2,3123,0.0,0.0,TTTT,4,0,1.0
644038,card_Velorchard,[スロット装着効果] 回避+[★ * 2],icon_item_card_util,126_boss_velorchard,,,,,800049,,,,5,1,ヴェローチャードカード,500,185,3,160,0.0,0.0,TTTT,4,5,1.0
644039,card_Goblin_Warrior,[スロット装着効果] 野獣型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,004_boss_goblin_warrior,,,,,400201,,,,1,0,ゴブリンファイターカード,500,240,2,356,0.0,0.0,TTTT,4,0,1.0
644040,card_Goblin_Warrior_red,[スロット装着効果] 打系武器着用時、物理攻撃力+[★*7],icon_item_card_atk,128_boss_goblin_warrior_red,,,,,400203,,,,2,0,レッドゴブリンファイターカード,500,255,2,390,0.0,0.0,TTTT,4,0,1.0
644041,card_bramble,[スロット装着効果] 地属性抵抗力+[★*10],icon_item_card_def,019_boss_bramble,,,,,400901,,,,0,5,ブランブルカード,500,545,2,1350,0.0,0.0,TTTT,4,1,1.0
644042,card_BiteRegina,[スロット装着効果] 攻撃時、[★/3]%の確率で相手を6秒間中毒状態,icon_item_card_util,022_boss_biteregina,[642011],,,,800050,,,,7,2,ビテレジーナカード,500,210,6,180,0.0,0.0,TTTT,4,5,1.0
644043,card_Strongholder,[スロット装着効果] スタミナ+[★],icon_item_card_util,082_boss_strongholder,[642011],,,,800005,,,,0,1,サイクロプスカード,500,251,2,456,0.0,0.0,TTTT,4,5,1.0
644044,card_Saltistter,[スロット装着効果] 氷属性抵抗力+[★*10],icon_item_card_def,085_boss_saltistter,,,,,41207,,,,4,0,サルティスタカード,500,300,2,685,0.0,0.0,TTTT,4,1,1.0
644045,card_salamander,[スロット装着効果] 炎属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,054_boss_salamander,[642014],,,,41205,,,,2,0,サラマンダーカード,500,202,4,524,0.0,0.0,TTTT,4,5,1.0
644046,card_ShadowGaoler,[スロット装着効果] 沈黙状態異常抵抗+[★ * 2],icon_item_card_util,093_boss_shadowgaoler,,"[495031, 642918, 642940]",,,800006,,,,0,1,シャドウジェイラーカード,500,290,1,161,0.0,0.0,TTTT,4,5,1.0
644047,card_stone_whale,[スロット装着効果] 攻撃時、[★/3]%の確率で5秒間受けるダメージ10%ダウン,icon_item_card_util,075_boss_stone_whale,,,,,41209,,,,1,4,ストーンホエールカード,500,226,1,5288,0.0,0.0,TTTT,4,5,1.0
644048,card_Shnayim,[スロット装着効果] 雷属性抵抗力+[★*10],icon_item_card_def,033_boss_shnayim,[642013],,,,41241,,,,5,4,シュナイムカード,500,270,2,3100,0.0,0.0,TTTT,4,1,1.0
644049,card_Confinedion,[スロット装着効果] 突系 防御力+[★*10],icon_item_card_def,096_boss_confinedion,,,,,41379,,,,7,0,デスストーカーカード,500,355,8,644,0.0,0.0,TTTT,4,1,1.0
644050,card_Spector_m,[スロット装着効果] 闇属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,008_boss_spector_m,,,,,800007,,,,0,1,スペクターマスターカード,500,210,2,45,0.0,0.0,TTTT,4,5,1.0
644051,card_Throneweaver,[スロット装着効果] 毒属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,041_boss_throneweaver,,,,,800009,,,,7,1,スローンウィーバーカード,500,352,6,375,0.0,0.0,TTTT,4,5,1.0
644052,card_Ironbaum,[スロット装着効果] スリープ状態の敵に与えるダメージ[★]%アップ,icon_item_card_atk,060_boss_ironbaum,,,,,41354,,,,2,4,アイアンバウムカード,500,230,2,2108,0.0,0.0,TTTT,4,0,1.0
644053,card_archon,[スロット装着効果] 炎属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,095_boss_archon,[642013],,,,800027,,,,2,4,アコンカード,500,406,2,960,0.0,0.0,TTTT,4,0,1.0
644054,card_Abomination,[スロット装着効果] 敏捷+[★/2]、体力+[★/2] ,icon_item_card_stat,038_boss_abomination,,,,,800029,,,,0,1,アボミネーションカード,500,420,2,1255,0.0,0.0,TTTT,4,4,1.0
644055,card_Unknocker,[スロット装着効果] 精神+[★/2]、体力+[★/2],icon_item_card_stat,040_boss_unknocker,,,,,800010,,,,0,1,アンノッカーカード,500,383,2,782,0.0,0.0,TTTT,4,4,1.0
644056,card_Achat,[スロット装着効果] 雷属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,032_boss_achat,,,,,41240,,,,5,4,エハートカード,500,220,2,2403,0.0,0.0,TTTT,4,0,1.0
644057,card_ellaganos,[スロット装着効果] 敏捷ステータス+[★],icon_item_card_stat,037_boss_ellaganos,,,,,800013,,,,0,1,エラガノスカード,500,392,6,1060,0.0,0.0,TTTT,4,4,1.0
644058,card_yekub,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,011_boss_yekub,,,,,41234,,,,4,0,イェクブカード,500,340,8,316,0.0,0.0,TTTT,4,5,1.0
644059,card_yonazolem,[スロット装着効果] 聖属性抵抗力+[★*10],icon_item_card_def,055_boss_yonazolem,[642014],,,,41211,,,,1,4,ヒュージゾーレムカード,500,410,2,3170,0.0,0.0,TTTT,4,1,1.0
644061,card_werewolf,[スロット装着効果] 攻撃時、[★]%の確率で後方攻撃判定,icon_item_card_util,070_boss_werewolf,,,,,41247,,,,0,0,ウェアウルフカード,500,378,2,982,0.0,0.0,TTTT,4,5,1.0
644062,card_unicorn,[スロット装着効果] 闇属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,050_unicorn,,,,,800051,,,,0,1,ユニコーンカード,500,329,4,460,0.0,0.0,TTTT,4,0,1.0
644063,card_Iltiswort,[スロット装着効果] 植物型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,017_boss_iltiswort,[642013],,,,41214,,,,7,5,イルティスウォートカード,500,308,1,512,0.0,0.0,TTTT,4,0,1.0
644064,card_GiantWoodGoblin_red,[スロット装着効果] クロース系鎧着用の対象に与えるダメージ[★/2]%アップ,icon_item_card_atk,062_boss_giantwoodgoblin_red,,,,,41215,,,,2,5,ジャイアントレッドウッドカード,500,551,2,1429,0.0,0.0,TTTT,4,0,1.0
644065,card_GiantWoodGoblin,[スロット装着効果] スタン状態の敵に与えるダメージ[★]%アップ,icon_item_card_atk,061_boss_giantwoodgoblin,,,,,41386,,,,7,5,ジャイアントウッドゴブリンカード,500,552,2,1428,0.0,0.0,TTTT,4,0,1.0
644067,card_Chapparition,[スロット装着効果]SPポーション類を使用時、6秒間魔法ダメージ+[★]%,icon_item_card_atk,068_boss_chapparition,[642011],,,,800011,,"[13026, 13028, 30122, 33029]",,0,1,チャッパーリションカード,500,254,1,108,0.0,0.0,TTTT,4,0,1.0
644068,card_chafer,[スロット装着効果 ]昆虫型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,023_boss_chafer,[642012],,,,800052,,,,7,2,チェイファーカード,500,235,2,217,0.0,0.0,TTTT,4,0,1.0
644070,card_Carapace,[スロット装着効果] 氷属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,098_boss_carapace,,,,,800053,,,,4,2,キャラパスカード,500,240,6,338,0.0,0.0,TTTT,4,5,1.0
644072,card_onion_the_great,[スロット装着効果] 大型のモンスターに与えるダメージ[★/2]%アップ,icon_item_card_atk,058_boss_onion_the_great,,,,,41201,,,,0,4,ケッピーチーフテンカード,500,465,2,680,0.0,0.0,TTTT,4,0,1.0
644073,card_Colimencia,[スロット装着効果] 毒属性抵抗力+[★*10],icon_item_card_def,101_boss_colimencia,,,,,47318,,,,4,5,コリメンシアカード,500,340,6,386,0.0,0.0,TTTT,4,1,1.0
644074,card_Clymen,[スロット装着効果] 毒属性モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,117_boss_clymen,,,,,47316,,,,7,5,クライメンカード,500,364,2,314,0.0,0.0,TTTT,4,0,1.0
644075,card_Kimeleech,[スロット装着効果] ブロック貫通+[★ * 1.5],icon_item_card_util,048_boss_kimeleech,,,,,800054,,,,7,2,キルメリーチカード,500,246,14,780,0.0,0.0,TTTT,4,5,1.0
644076,card_tutu,[スロット装着効果] 持ち運べる重さ+[★]%,icon_item_card_util,076_boss_tutu,,,,,57161,,,,7,0,トゥトゥカード,500,230,4,1168,0.0,0.0,TTTT,4,5,1.0
644077,card_TombLord,[スロット装着効果] ボスモンスターに与えるダメージ[★/2]%アップ,icon_item_card_atk,034_boss_tomblord,,,,,800055,,,,0,1,トゥームロードカード,500,201,2,180,0.0,0.0,TTTT,4,0,1.0
644078,card_poata,[スロット装着効果] HP回復力+[★ * 30],icon_item_card_util,001_boss_poata,,,,,41202,,,,7,0,ポアタカード,500,310,2,427,0.0,0.0,TTTT,4,5,1.0
644079,card_Sequoia_blue,[スロット装着効果] 物理防御力+[★*5]、魔法防御力+[★*5],icon_item_card_def,015_boss_sequoia,,,,,401661,,,,2,5,セルシシアカード,500,356,2,866,0.0,0.0,TTTT,4,1,1.0
644080,card_Harpeia,[スロット装着効果] 雷属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,107_boss_harpeia,,"[642905, 642921]",,,800012,,,,5,1,ハーピアカード,500,230,2,197,0.0,0.0,TTTT,4,5,1.0
644081,card_honeypin,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,047_boss_honeypin,,,,,800056,,,,7,2,ハニーピンカード,500,218,6,240,0.0,0.0,TTTT,4,5,1.0
644082,card_helgasercle,[スロット装着効果] 魔法攻撃力+[★*5],icon_item_card_atk,053_boss_helgasercle,,,,,800057,,,,0,1,ヘルガ・セルクルカード,500,298,1,142,0.0,0.0,TTTT,4,0,1.0
644083,card_Spector_F,[スロット装着効果] 最大SP+[★ * 30],icon_item_card_util,009_boss_spector_f,,,,,800080,,,,0,1,魅惑のスペクターカード,500,162,1,45,0.0,0.0,TTTT,4,5,1.0
644084,card_hydra,[スロット装着効果] 氷結状態の敵に与えるダメージ[★]%アップ,icon_item_card_atk,099_boss_hydra,,,,,47313,,,,4,4,ヒドラカード,500,353,4,1624,0.0,0.0,TTTT,4,0,1.0
644085,card_rajapearl,[スロット装着効果] 攻撃時、[★/3]%の確率で相手を6秒間出血状態,icon_item_card_util,078_boss_rajapearl,,,,,41243,,,,4,0,ラジャパールカード,500,160,1,908,0.0,0.0,TTTT,4,5,1.0
644087,card_fallen_statue,[スロット装着効果] 固定型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,013_boss_fallen_statue,,,,,800071,,,,0,1,コラプテッドカード,500,213,2,240,0.0,0.0,TTTT,4,0,1.0
644088,card_lepus,[スロット装着効果] 片手武器着用時、攻撃速度+[★],icon_item_card_util,084_boss_lepus,,,,,41216,,,,1,0,レプスカード,500,375,2,686,0.0,0.0,TTTT,4,5,1.0
644089,card_sparnas,[スロット装着効果] ミサイル系武器着用時、物理攻撃力+[★*7],icon_item_card_atk,006_boss_sparnas,,,,,41224,,,,5,0,スパルナスカード,500,185,2,206,0.0,0.0,TTTT,4,0,1.0
644092,card_Sparnanman,[スロット装着効果] 闇属性抵抗力+[★*10],icon_item_card_def,035_boss_sparnanman,,,,,800008,,,,0,1,スパルナスマンカード,500,315,2,412,0.0,0.0,TTTT,4,1,1.0
644093,card_Kerberos,[スロット装着効果] 中型対象から攻撃を受けたとき[★]%の確率でSP 1%回復{nl}クールタイム5秒,icon_item_card_util,094_boss_kerberos,[642013],[642903],,,800028,,,,2,1,ケルベロスカード,500,207,4,460,0.0,0.0,TTTT,4,5,1.0
644094,card_capria,[スロット装着効果] スリープ状態異常抵抗+[★ * 2],icon_item_card_util,131_boss_capria,,,,,57210,,,,7,0,カプリアカード,500,214,2,189,0.0,0.0,TTTT,4,5,1.0
644095,card_Nepenthes,[スロット装着効果] 最大HP +[★*90]、最大SP +[★*15],icon_item_card_util,135_boss_nepenthes,,,,,57015,,,,1,5,ネペンテスカード,500,194,2,174,0.0,0.0,TTTT,4,5,1.0
644096,card_simorph,[スロット装着効果] 力+[★/2]、体力+[★/2],icon_item_card_stat,133_boss_simorph,,,,,57151,,,,1,5,シーモフカード,500,141,2,60,0.0,0.0,TTTT,4,4,1.0
644098,card_Golem_gray,[スロット装着効果] 物理防御力+[★*10],icon_item_card_def,134_boss_graygolem,,,,,450222,,,,1,4,グレーゴーレムカード,500,213,2,6193,0.0,0.0,TTTT,4,1,1.0
644099,card_Naktis,[スロット装着効果] 命中+[★*1.5],icon_item_card_util,066_boss_naktis,,,,,800058,,,,0,1,ナクティスカード,500,344,2,128,0.0,0.0,TTTT,4,5,1.0
644100,card_RingCrawler,[スロット装着効果] 精神ステータス+[★],icon_item_card_stat,067_boss_ringcrawler,,,,,41232,,,,5,4,リンクローラーカード,500,382,1,372,0.0,0.0,TTTT,4,4,1.0
644101,card_Durahan,[スロット装着効果]戦闘不能時に[★]%確率で10%のHPが回復した状態で復活。{nl}(チームバトルリーグトーナメントで戦闘不能状態になった場合、すぐに戦闘不能にならず10秒間維持したあとに戦闘不能になる),icon_item_card_util,071_durahan,,,,,800014,,,,0,1,デュラハンカード,500,245,6,482,0.0,0.0,TTTT,4,5,1.0
644102,card_Riteris,[スロット装着効果] 暗黒状態異常抵抗+[★ * 2],icon_item_card_util,073_riteris,,"[642909, 642915, 642923]",,,800015,,,,0,1,リテリスカード,500,221,2,308,0.0,0.0,TTTT,4,5,1.0
644103,card_Nuaele,[スロット装着効果] 魔法防御力+[★]%,icon_item_card_def,074_nuaele,,,,,800016,,,,0,1,ヌアエーレカード,500,186,1,91,0.0,0.0,TTTT,4,1,1.0
644104,card_Neop,[スロット装着効果] HPポーション類効果+[★]%,icon_item_card_util,113_neop,,,,,800059,,,,7,2,ネオップカード,500,368,2,912,0.0,0.0,TTTT,4,5,1.0
644105,card_Blud,[スロット装着効果] 体力ステータス+[★],icon_item_card_stat,112_blud,,,,,800060,,,,0,1,ブルッドカード,500,432,4,1677,0.0,0.0,TTTT,4,4,1.0
644106,card_Glackuman,[スロット装着効果] 斬系防御力+[★*10],icon_item_card_def,116_glackuman,,,,,800022,,,,6,4,グラックマンカード,500,382,2,1954,0.0,0.0,TTTT,4,1,1.0
644108,card_Tetraox,[スロット装着効果] 出血状態異常抵抗+[★ * 2],icon_item_card_util,127_tetraox,,,,,57421,,,,1,0,テトラオックスカード,500,190,4,1260,0.0,0.0,TTTT,4,5,1.0
644109,card_basilisk,[スロット装着効果] クリティカル抵抗+[★*2],icon_item_card_util,122_basilisk,,,,,800061,,,,5,2,バジリスクカード,500,220,4,784,0.0,0.0,TTTT,4,5,1.0
644110,card_gremlin,[スロット装着効果] 斬系武器着用時、物理攻撃力+[★*7],icon_item_card_atk,124_gremlin,,,,,58522,,,,5,0,グレムリンカード,500,331,2,610,0.0,0.0,TTTT,4,0,1.0
644111,card_plokste,[スロット装着効果] 物理攻撃力+[★*5],icon_item_card_atk,120_plokste,,,,,800062,,,,7,2,プロクスケカード,500,224,6,484,0.0,0.0,TTTT,4,0,1.0
644112,card_Woodhoungan,[スロット装着効果] 知能+[★/2]、体力+[★/2] ,icon_item_card_stat,121_woodhoungan,,,,,47512,,,,7,5,ウッドオウンガンカード,500,326,1,389,0.0,0.0,TTTT,4,4,1.0
644113,card_velnewt,[スロット装着効果] 小型モンスターから攻撃を受けたとき[★]%の確率でHP 0.5%回復{nl}クールタイム15秒,icon_item_card_util,125_velnewt,,,,,800063,,,,1,2,ヴェルニュートカード,500,222,4,404,0.0,0.0,TTTT,4,5,1.0
644114,card_Velpede,[スロット装着効果] 攻撃時、[★/3]%の確率で6秒間移動速度+4,icon_item_card_util,123_velpede,,,,,800064,,,,1,2,ヴェルピードカード,500,270,6,504,0.0,0.0,TTTT,4,5,1.0
644117,card_Pyroego,[スロット装着効果] 知能+[★] ,icon_item_card_stat,057_boss_pyroego,,,,,800065,,,,2,1,パイロエゴカード,500,391,1,100,0.0,0.0,TTTT,4,4,1.0
644118,card_Mandala,[スロット装着効果] ノックダウン中の敵に与えるダメージ[★]%アップ,icon_item_card_atk,065_mandala,,,,,57707,,,,0,4,マンダラカード,500,229,2,270,0.0,0.0,TTTT,4,0,1.0
644119,card_LithoRex,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,079_boss_lithorex,,,,,800017,,,,5,1,リトレックスカード,500,317,2,483,0.0,0.0,TTTT,4,5,1.0
644120,card_Nuodai,[スロット装着効果] スタン抵抗+[★]、スリープ抵抗+[★] ,icon_item_card_util,086_nuodai,,,,,800066,,,,4,1,ヌオダイカード,500,330,6,480,0.0,0.0,TTTT,4,5,1.0
644121,card_Centaurus,[スロット装着効果] 広域攻撃比率+[★/5],icon_item_card_atk,088_centaurus,,,,,800067,,,,4,1,ケンタウロスカード,500,230,4,227,0.0,0.0,TTTT,4,0,1.0
644122,card_Yeti,[スロット装着効果] 最大HP+[★ * 180],icon_item_card_util,089_yeti,,,,,57415,,,,4,0,イエティカード,500,235,2,360,0.0,0.0,TTTT,4,5,1.0
644123,card_Frogola,[スロット装着効果] HPポーション類を使用時、10秒間魔法防御力+[★]%,icon_item_card_def,100_frogola,,,,,800018,,,,4,1,フロゴーラカード,500,201,1,164,0.0,0.0,TTTT,4,1,1.0
644125,card_Marionette,[スロット装着効果] 攻撃時、[★/3]%の確率で相手を3秒間スロー状態,icon_item_card_util,105_marionette,,,,,800068,,,,0,1,マリオネットカード,500,318,2,211,0.0,0.0,TTTT,4,5,1.0
644126,card_Canceril,[スロット装着効果] 中型対象から攻撃を受けたとき[★]%の確率でHP 2%回復{nl}クールタイム15秒,icon_item_card_util,110_canceril,,,,,800025,,,,4,2,キャンスリルカード,500,212,6,256,0.0,0.0,TTTT,4,5,1.0
644127,card_Crabil,[スロット装着効果] スタン状態異常抵抗+[★ * 2],icon_item_card_util,111_crabil,,,,,47505,,,,1,0,クラビルカード,500,270,8,400,0.0,0.0,TTTT,4,5,1.0
644128,card_Genmagnus,[スロット装着効果]物理攻撃力+[★*3],icon_item_card_atk,069_boss_genmagnus,,,,,800069,,,,4,1,マスタージニーカード,500,380,1,83,0.0,0.0,TTTT,4,0,1.0
644129,card_merregina,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,077_merregina,,,,,800070,,,,4,1,メレジナカード,500,363,1,208,0.0,0.0,TTTT,4,5,1.0
644130,card_Templeshooter,[スロット装着効果] 力+[★/2]、精神+[★/2] ,icon_item_card_stat,063_boss_templeshooter,,,,,800021,,,,0,1,テンプルシューターカード,500,230,2,224,0.0,0.0,TTTT,4,4,1.0
644131,card_Fireload,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,129_boss_firelord,,[642902],,,800023,,,,2,1,ファイアーロードカード,500,274,2,207,0.0,0.0,TTTT,4,5,1.0
